date,count
2022-06-07,8665
2022-06-08,8851
2022-06-09,8861
2022-06-10,8920
2022-06-11,8941
2022-06-12,5284
2022-06-13,9001
2022-06-14,7181
2022-06-15,9083
2022-06-16,9115
2022-06-17,9146
2022-06-18,9170
2022-06-19,9184
2022-06-20,9218
2022-06-21,9244
2022-06-22,4570
2022-06-23,9288
2022-06-24,9335
2022-06-25,9349
2022-06-26,9275
2022-06-27,9189
2022-06-28,8326
2022-06-29,8488
2022-06-30,9490
2022-07-01,9516
2022-07-02,9532
2022-07-03,8923
2022-07-04,9576
2022-07-05,8201
2022-07-06,8934
2022-07-07,9534
2022-07-08,9696
2022-07-09,8895
2022-07-10,9736
2022-07-11,9767
2022-07-12,9769
2022-07-13,9724
2022-07-14,9771
2022-07-15,9554
2022-07-16,9799
2022-07-17,9795
2022-07-18,9803
2022-07-19,9810
2022-07-20,9704
2022-07-21,9810
2022-07-22,9782
2022-07-23,9941
2022-07-24,8671
2022-07-25,8740
2022-07-26,9996
2022-07-27,10065
2022-07-28,9774
2022-07-29,10053
2022-07-30,10201
2022-07-31,10239
2022-08-01,9924
2022-08-02,8348
2022-08-03,10323
2022-08-04,10360
2022-08-05,3716
2022-08-06,10410
2022-08-07,8834
2022-08-08,10352
2022-08-09,10475
2022-08-10,8537
2022-08-11,10546
2022-08-12,10569
2022-08-13,6883
2022-08-14,10600
2022-08-15,10523
2022-08-16,10215
2022-08-17,9400
2022-08-18,10437
2022-08-19,10743
2022-08-20,10751
2022-08-21,10530
2022-08-22,9807
2022-08-23,10804
2022-08-24,10307
2022-08-25,6571
2022-08-26,10816
2022-08-27,10918
2022-08-28,10647
2022-08-29,10705
2022-08-30,11026
2022-08-31,11053
2022-09-01,11098
2022-09-02,11156
2022-09-03,11178
2022-09-04,11199
2022-09-05,7981
2022-09-06,11251
2022-09-07,11288
2022-09-08,9418
2022-09-09,10206
2022-09-10,11364
2022-09-11,11137
2022-09-12,9748
2022-09-13,11458
2022-09-14,11499
2022-09-15,11528
2022-09-16,11563
2022-09-17,11615
2022-09-18,11639
2022-09-19,11680
2022-09-20,11725
2022-09-21,10984
2022-09-22,11788
2022-09-23,11344
2022-09-25,11858
2022-09-26,11895
2022-09-27,11932
2022-09-28,11982
2022-09-29,10762
2022-09-30,12003
2022-10-01,12062
2022-10-02,12077
2022-10-03,12081
2022-10-04,12135
2022-10-05,12161
2022-10-06,12210
2022-10-07,12248
2022-10-08,12262
2022-10-09,12278
2022-10-10,11653
2022-10-11,8646
2022-10-12,12030
2022-10-13,12427
2022-10-14,12464
2022-10-15,12437
2022-10-16,12464
2022-10-17,12424
2022-10-18,12461
2022-10-19,12494
2022-10-20,12586
2022-10-21,12682
2022-10-22,12703
2022-10-23,12714
2022-10-24,12748
2022-10-25,12357
2022-10-26,12825
2022-10-27,12874
2022-10-28,12899
2022-10-29,12919
2022-10-30,12926
2022-10-31,12752
2022-11-01,12990
2022-11-02,10937
2022-11-03,12470
2022-11-04,13073
2022-11-05,13138
2022-11-06,9233
2022-11-07,11843
2022-11-08,6908
2022-11-09,13253
2022-11-10,13005
2022-11-11,5338
2022-11-12,13094
2022-11-13,12932
2022-11-14,13367
2022-11-15,13394
2022-11-16,12871
2022-11-17,11636
2022-11-18,13497
2022-11-19,13419
2022-11-20,12957
2022-11-21,13556
2022-11-22,6794
2022-11-23,13646
2022-11-24,13665
2022-11-25,9836
2022-11-26,13700
2022-11-27,12960
2022-11-28,13750
2022-11-29,10152
2022-11-30,13820
2022-12-01,13860
2022-12-02,13122
2022-12-03,12237
2022-12-04,13061
2022-12-05,10787
2022-12-06,14031
2022-12-07,13998
2022-12-08,14109
2022-12-09,13047
2022-12-10,14166
2022-12-11,13779
2022-12-12,14227
2022-12-13,4092
2022-12-14,8731
2022-12-15,13309
2022-12-16,14338
2022-12-17,10672
2022-12-18,14295
2022-12-19,6924
2022-12-20,14522
2022-12-21,13546
2022-12-22,8262
2022-12-23,11072
2022-12-24,13877
2022-12-25,14483
2022-12-26,14392
2022-12-27,9368
2022-12-28,6817
2022-12-29,9844
2022-12-30,14785
2022-12-31,14837
2023-01-01,14743
2023-01-02,14867
2023-01-03,2405
2023-01-04,14865
2023-01-05,14665
2023-01-06,14985
2023-01-07,14942
2023-01-08,14987
2023-01-09,15066
2023-01-10,12407
2023-01-11,15167
2023-01-12,12426
2023-01-13,15120
2023-01-14,11199
2023-01-15,6479
2023-01-16,15281
2023-01-17,13534
2023-01-18,10516
2023-01-19,14656
2023-01-20,10486
2023-01-21,11151
2023-01-22,11077
2023-01-23,15755
2023-01-24,14717
2023-01-25,15764
2023-01-26,3971
2023-01-27,15916
2023-01-28,14941
2023-01-29,11411
2023-01-30,6906
2023-01-31,15435
2023-02-01,15808
2023-02-02,16009
2023-02-03,12142
2023-02-04,12612
2023-02-05,15199
2023-02-06,2028
2023-02-07,2345
2023-02-08,7033
2023-02-09,14092
2023-02-10,7875
2023-02-11,11743
2023-02-12,4823
2023-02-13,16292
2023-02-14,11159
2023-02-15,16573
2023-02-16,14683
2023-02-17,8000
2023-02-18,15765
2023-02-19,15216
2023-02-20,11057
2023-02-21,16789
2023-02-22,11668
2023-02-23,16917
2023-02-24,9605
2023-02-25,8212
2023-02-26,12208
2023-02-27,12275
2023-02-28,7767
2023-03-01,5437
2023-03-02,17220
2023-03-03,14437
2023-03-04,15410
2023-03-05,16389
2023-03-06,4794
2023-03-07,12969
2023-03-08,15333
2023-03-09,16887
2023-03-10,6321
2023-03-11,16396
2023-03-12,6199
2023-03-13,17192
2023-03-14,6369
2023-03-15,17677
2023-03-16,17592
2023-03-17,17726
2023-03-18,11691
2023-03-19,16879
2023-03-20,17867
2023-03-21,2124
2023-03-22,8564
2023-03-23,17938
2023-03-24,17675
2023-03-25,18223
2023-03-26,18272
2023-03-27,16405
2023-03-28,17567
2023-03-29,18033
2023-03-30,16218
2023-03-31,18251
2023-04-01,15992
2023-04-02,17304
2023-04-03,18256
2023-04-04,9834
2023-04-05,18682
2023-04-06,15304
2023-04-07,6870
2023-04-08,18763
2023-04-09,16937
2023-04-10,14245
2023-04-11,17598
2023-04-12,8578
2023-04-13,8372
2023-04-14,13282
2023-04-15,13626
2023-04-16,19054
2023-04-17,18636
2023-04-18,17062
2023-04-19,6336
2023-04-20,6336
2023-04-21,6272
2023-04-22,6272
2023-04-23,6272
2023-04-24,6272
2023-04-25,6144
2023-04-26,6144
2023-04-27,1364
2023-04-28,1436
2023-04-29,1404
2023-04-30,1380
2023-05-01,1128
2023-05-02,1112
2023-05-03,1072
2023-05-04,1056
2023-05-05,1056
2023-05-06,1080
2023-05-07,1080
2023-05-08,1080
2023-05-09,1076
2023-05-10,1092
2023-05-11,1084
2023-05-12,1084
2023-05-13,1084
2023-05-14,1084
2023-05-15,1080
2023-05-16,1064
2023-05-17,1064
2023-05-18,1072
2023-05-19,1040
2023-05-20,1056
2023-05-21,1032
2023-05-22,1032
2023-05-23,1056
2023-05-24,1064
2023-05-25,1040
2023-05-26,1040
2023-05-27,1040
2023-05-28,1040
2023-05-29,1056
2023-05-30,1036
2023-05-31,1044
2023-06-01,1024
2023-06-02,1000
2023-06-03,1000
2023-06-04,1000
2023-06-05,992
2023-06-06,992
2023-06-07,992
2023-06-08,1036
2023-06-09,1060
2023-06-10,1052
2023-06-11,1060
2023-06-12,1052
2023-06-13,1060
2023-06-14,1008
2023-06-15,1004
2023-06-16,1068
2023-06-17,1052
2023-06-18,1072
2023-06-19,1072
2023-06-20,1036
2023-06-21,1016
2023-06-22,1016
2023-06-23,1036
2023-06-24,1020
2023-06-25,1012
2023-06-26,952
2023-06-27,900
2023-06-28,908
2023-06-29,916
2023-06-30,936
2023-07-01,936
2023-07-02,932
2023-07-03,1092
2023-07-04,1076
2023-07-05,1076
2023-07-06,1132
2023-07-07,1140
2023-07-08,1060
2023-07-09,1140
2023-07-10,1140
2023-07-11,1140
2023-07-12,1140
2023-07-13,1168
2023-07-14,1176
2023-07-15,1172
2023-07-16,1172
2023-07-17,1204
2023-07-18,1228
